Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all,R2_all,RMSE_all
-7.9681,-35.1567,91.0,1967.0,2012.0,44.0,304.281,0.2129,2.8307,0.558,1304.4275,0.21240783,14.535318,0.860968,0.9708940266116448,0.9708940266116448,10.901317709065538
-7.5667,-35.0,130.0,1925.0,1967.0,43.0,491.151,0.1987,2.8231,0.5573,1385.8612,0.22745553,14.534678,0.8609623,0.856880715490415,0.856880715490415,36.92735602240332
-7.9833,-38.3,435.0,1967.0,2020.0,50.0,989.995,0.2075,14.4,0.7847,1790.2234,0.18494639,15.124853,0.86062455,0.765822463361793,0.765822463361793,31.46937390795318
-8.67939999,-35.57719999,110.0,1977.0,2012.0,36.0,1193.0,0.2613,12.1,0.8169,1329.0312,0.22562194,14.535061,0.8609657,0.8689713699308406,0.8689713699308406,35.628465697023366
-8.69999999,-36.45,821.0,1963.0,2022.0,59.0,960.2,0.2483,12.1,0.8173,1329.0312,0.22562194,14.535061,0.8609657,0.9968982972567103,0.9968982972567103,4.175260211896464
-3.4622,-42.3733,36.0,1984.0,2019.0,33.0,4561.0,0.1594,35.0,0.9738,2307.9587,0.16134742,12.8862705,0.85670555,0.3567558744621133,0.3567558744621133,57.4117666548596
-25.46669999,-48.8333,8.0,1940.0,2014.0,75.0,1254.6,0.2655,34.7,0.8131,9002.364,0.1878597,43.5499,1.0075811,-3.5201429760206704,-3.5201429760206704,118.14817641457199
-20.9692,-42.0517,188.0,1940.0,2015.0,75.0,1775.2,0.1784,16.8,0.8644,49767.11,0.13054293,137.23769,1.2717427,0.7263720930990988,0.7263720930990988,39.07915013659998
-21.62529999,-41.9853,42.0,1943.0,2015.0,72.0,1694.1,0.1533,25.0,0.861,43955.492,0.1663165,151.86584,1.2431571,0.8210503612391646,0.8210503612391646,21.069390325745754
-21.9333,-42.6167,341.0,1965.0,1998.0,34.0,1743.0,0.1864,23.4,0.8394,10814.898,0.18849473,78.52386,1.0763991,0.9501221670447305,0.9501221670447305,14.665609977227382
-21.54189999,-42.18249999,70.0,1966.0,2014.0,48.0,1266.9,0.1917,13.2,0.8156,46002.125,0.16213797,155.1131,1.2423421,0.7439335072019004,0.7439335072019004,38.05320303932268
-22.1403,-43.1542,278.0,1936.0,2014.0,78.0,2085.0,0.1877,17.3,0.8976,8738.5625,0.15598275,61.24945,1.0344728,0.9083039442206136,0.9083039442206136,24.439796434951273
-22.4819,-43.83919999,356.0,1935.0,2012.0,77.0,2055.6,0.1733,20.0,0.8908,2912.1638,0.2215227,14.977876,0.89690757,-1.7077399024513915,-1.7077399024513915,114.27615502348324
-22.30359999,-44.1869,620.0,1944.0,2015.0,71.0,1078.9,0.1597,12.5,0.7675,2888.8206,0.13108179,9.156147,0.883238,-2.0073450827522183,-2.0073450827522183,115.59866684882485
-22.4833,-44.4453,440.0,1962.0,2010.0,48.0,1020.1,0.1598,13.1,0.7734,3392.9207,0.19098854,9.113995,0.8814772,-13.242641179665945,-13.242641179665945,228.12860457688885
-5.9,-35.7667,97.0,,,50.0,620.735,0.221,9.778,0.741,2135.5095,0.15550342,13.247093,0.8601758,-0.3027231718576837,-0.3027231718576837,67.8941425290379
