reference_key,source_sheet,source_row,station_code,station_name,latitude_xlsx,longitude_xlsx,lat_key,lon_key,K_r_sampled,a_r_sampled,b_r_sampled,c_r_sampled,latitude_metric,longitude_metric,K,a,b,c,K_r_metric,a_r_metric,b_r_metric,c_r_metric,K_r_abs_diff_sampled_minus_metric,K_r_rel_diff_pct_sampled_minus_metric,a_r_abs_diff_sampled_minus_metric,a_r_rel_diff_pct_sampled_minus_metric,b_r_abs_diff_sampled_minus_metric,b_r_rel_diff_pct_sampled_minus_metric,c_r_abs_diff_sampled_minus_metric,c_r_rel_diff_pct_sampled_minus_metric,max_abs_rel_diff_pct_sampled_vs_metric
standard,Standard,69,1543013,Janaúba,-15.7756,-43.27969999,-15.7756,-43.2797,1010.4324951171875,0.15747857093811035,3.415837049484253,0.8174521923065186,-15.7756,-43.27969999,4323.837,0.224,45.869,1.03,627.7031,0.19803333,1.0959872e-07,0.7950173,382.72939511718755,60.972997443725795,-0.040554759061889656,-20.47875428943686,3.415836939885533,3116675942.826278,0.022434892306518517,2.8219376240640948,3116675942.826278
standard,Standard,258,1654000,Rondonópolis,-16.4711,-54.6561,-16.4711,-54.6561,1560.6866455078125,0.1706957370042801,17.966697692871094,0.8508358597755432,-16.4711,-54.6561,14615.726,0.207,39.234,1.331,420.76794,0.18194811,1.8235193e-06,0.73818904,1139.9187055078125,270.91386893873437,-0.011252372995719906,-6.184385754663737,17.966695869351796,985275882.1555547,0.11264681977554325,15.259887870394724,985275882.1555547
standard,Standard,417,-,Santa Maria,-29.68333333,-53.81666667,-29.68333,-53.81667,1637.68701171875,0.17371581494808197,9.942747116088867,0.8160983920097351,-29.68333333,-53.81666667,870.38,0.24,15.2,0.73,825.701,0.14438269,0.026205398,0.761925,811.98601171875,98.33898853443921,0.029333124948081962,20.316233856068177,9.916541718088867,37841.59934563431,0.054173392009735144,7.110068840074174,37841.59934563431
standard,Standard,60,1442025,Espinosa,-14.9333,-42.8167,-14.9333,-42.8167,1017.0270385742188,0.1863185614347458,4.7641401290893555,0.8195157051086426,-14.9333,-42.8167,679.357,0.188,8.715,0.731,551.00757,0.18069668,0.030235985,0.7855065,466.01946857421876,84.5758740799548,0.00562188143474579,3.11122563776257,4.7339041440893554,15656.523655800715,0.03400920510864258,4.329589266115886,15656.523655800715
standard,Standard,56,-,Barra do Corda,-5.5,-45.26666667,-5.5,-45.26667,2027.5794677734375,0.21321257948875427,11.044638633728027,0.8679878115653992,-5.5,-45.26666667,1530.67,0.2,17.0,0.83,899.93585,0.16886157,0.27640793,0.82451075,1127.6436177734377,125.30266660378489,0.044351009488754284,26.264714635043536,10.768230703728028,3895.774880166436,0.04347706156539921,5.273073949053934,3895.774880166436
standard,Standard,283,840013,Jutaí,-8.6333,-40.2333,-8.6333,-40.2333,4676.60498046875,0.2930990755558014,47.650550842285156,1.0237711668014526,-8.6333,-40.2333,395.531,0.133,1.34,0.565,1024.4584,0.19395019,1.316376,0.8758795,3652.14658046875,356.495352126426,0.0991488855558014,51.120798363642436,46.33417484228516,3519.8282893554087,0.1478916668014526,16.88493300750304,3519.8282893554087
standard,Standard,331,83695,Itaperuna,-21.2,-41.9,-21.2,-41.9,70149.1015625,0.17299845814704895,169.22134399414062,1.3695427179336548,-21.2,-41.9,4999.882,0.196,34.462,0.986,2333.011,0.15357794,43.382298,0.94344026,67816.0905625,2906.8054356580406,0.019420518147048954,12.645382629203747,125.83904599414063,290.07003269891476,0.42610245793365475,45.164752449047995,2906.8054356580406
standard,Standard,280,837003,Arcoverde (Rio Branco),-8.43329999,-37.06669999,-8.4333,-37.0667,1277.3292236328125,0.30241501331329346,14.50129508972168,0.860855221748352,-8.43329999,-37.06669999,1116.5,0.257,19.0,0.8837,578.924,0.21838035,0.5010358,0.80903536,698.4052236328125,120.63849894507959,0.08403466331329346,38.480872163312064,14.00025928972168,2794.263262170424,0.05181986174835207,6.405141766405868,2794.263262170424
standard,Standard,467,2251002,Marabá Paulista,-22.1,-51.9667,-22.1,-51.9667,26174.796875,0.18047858774662018,187.3885498046875,1.2184298038482666,-22.1,-51.9667,2000.0,0.146,23.925,0.856,1215.5358,0.1829758,50.17207,0.8501071,24959.261075,2053.354666723925,-0.0024972122533798158,-1.3647773385222612,137.2164798046875,273.4917650491349,0.3683227038482666,43.32662365109838,2053.354666723925
standard,Standard,416,-,Rio Grande,-32.03333333,-52.1,-32.03333,-52.1,60156.29296875,0.19948558509349823,176.82530212402344,1.3172248601913452,-32.03333333,-52.1,774.14,0.23,6.9,0.74,3708.0466,0.15221033,55.822227,1.0033853,56448.24636875,1522.317609728799,0.047275255093498225,31.05916339153737,121.00307512402344,216.76504436847966,0.3138395601913453,31.27807036751937,1522.317609728799
