station_id,reference_key,source_sheet,source_row,station_code,station_name,latitude,longitude,n_bias_values,median_bias_pct,mean_bias_pct,std_bias_pct,max_abs_bias_pct,p95_abs_bias_pct,K,a,b,c,K_r,a_r,b_r,c_r
standard_row135,standard,Standard,135,1847014,Coromandel,-18.46669999,-47.2,128,-6.773600825872423,10.264293651744497,38.08169097503517,140.76724724435186,117.05495122798581,2587.15,0.166,26.069,0.927,1392.9039306640625,0.14279763400554657,2.1541004180908203,0.8494536876678467
disaggregation_row379,disaggregation,Disaggregation,379,,,-23.25,-45.6833,128,24.9026519759837,40.049056711980626,34.54974731855357,140.50284691429565,132.21988807949424,2569.9,0.172,33.4,0.9376,1542.438720703125,0.1791159063577652,6.583115100860596,0.8477388024330139
disaggregation_row218,disaggregation,Disaggregation,218,,,-6.15,-35.4333,128,68.89033592897732,69.56312507359891,33.90389430117934,139.9650809631437,128.60329741738346,538.014,0.197,9.778,0.741,1371.48974609375,0.27311673760414124,14.500917434692383,0.8608518242835999
standard_row251,standard,Standard,251,1157000,Porto dos Gaúchos,-11.5358,-57.4172,128,68.46783924195151,68.52943704857172,29.84776191203779,139.92986692736548,124.55614423585087,5979.295,0.131,48.214,1.022,7677.84814453125,0.23109285533428192,44.091583251953125,1.0423678159713745
disaggregation_row2,disaggregation,Disaggregation,2,,,-7.6111,-72.6811,128,68.13573206440897,65.8347815058878,38.20600639615608,138.83304029261225,124.08136816170634,1019.1,0.1471,12.4,0.7615,3301.968505859375,0.2154870331287384,18.796215057373047,0.9235436320304871
disaggregation_row35,disaggregation,Disaggregation,35,,,-18.9817,-39.9933,128,3.31073499614301,20.08481939476308,39.015947832911195,138.55981133177207,131.2800705198543,3091.8,0.1607,38.5,0.924,1235.2432861328125,0.1669921725988388,3.6642394065856934,0.805018424987793
standard_row279,standard,Standard,279,836004,Belo Jardim,-8.33333,-36.45,128,27.89494239577419,29.64423880360193,36.777194023771585,137.35801084596542,92.89279586577496,2178.87,0.123,22.834,0.875,1328.4400634765625,0.28485482931137085,14.501096725463867,0.8608534336090088
disaggregation_row289,disaggregation,Disaggregation,289,,,-11.6836,-61.1922,128,44.92753437467229,47.98674679021781,40.99388386390634,137.076288668067,122.86734987339716,867.613,0.183,13.868,0.714,2384.4619140625,0.2897605299949646,21.9288330078125,0.8903408646583557
standard_row403,standard,Standard,403,3051020,Porto Alegre (Salgado Filho),-30.0,-51.1833,128,85.78834067778926,88.41410757192679,27.033339799127507,136.94714574833338,129.49851033807303,826.806,0.143,13.326,0.793,2196.0498046875,0.13537947833538055,11.548555374145508,0.8606334924697876
disaggregation_row30,disaggregation,Disaggregation,30,,,-6.3667,-39.3,128,36.02159457431656,38.10848412326421,40.67588191679313,136.84500475628417,108.1600239958709,490.95,0.071,0.0,0.6567,1636.536865234375,0.18658608198165894,14.448380470275879,0.869778573513031
standard_row76,standard,Standard,76,1546008,Arinos (INMET),-15.9153,-46.1072,128,1.3209216737954204,21.97028368097763,42.48753771361457,134.311909917001,104.8798215067891,3500.0,0.166,41.086,0.942,3172.724609375,0.19619368016719818,13.808040618896484,0.9700239896774292
standard_row448,standard,Standard,448,2244015,Campos de Cunha,-22.91666667,-44.8167,128,52.90020504413677,56.31242799056817,21.619521392975226,134.00678218747055,98.83203830339204,1999.897,0.138,13.449,0.925,1525.19970703125,0.18447427451610565,4.002968788146973,0.8482400178909302
